Year,Keski-Suomi,Keski-Pohjanmaa,Kainuu,Kanta-Häme,Kymenlaakso,Lappi,Pohjois-Karjala,Pohjois-Pohjanmaa,Pohjois-Savo,Pohjanmaa,Pirkanmaa,Päijät-Häme,Satakunta,Etelä-Karjala,Etelä-Pohjanmaa,Etelä-Savo,Varsinais-Suomi,Uusimaa,Ahvenanmaa
1997,,0,0,0,410,1,0,1,0,143,344,0,455,0,0,1,450,1575,0
1998,325,0,0,0,398,0,0,133,0,149,354,0,347,0,1,0,510,1553,0
1999,447,0,0,0,371,0,0,259,0,143,434,0,395,0,0,0,565,1678,0
2000,437,0,0,0,213,0,0,337,0,364,469,0,456,2,0,0,596,2694,33
2001,514,0,0,0,273,1,1,342,0,460,517,0,398,0,0,0,467,2571,60
2002,634,0,2,1,258,54,4,346,3,584,417,2,528,0,28,0,471,1808,46
2003,710,0,0,0,281,28,2,489,10,492,428,2,582,0,189,1,413,1769,32
2004,381,62,0,0,401,37,9,568,8,545,405,1,395,0,298,4,320,1742,98
2005,478,77,0,2,406,34,16,590,250,564,419,1,316,0,269,15,380,2047,75
2006,540,87,0,158,438,129,28,692,3,559,419,0,284,1,240,22,407,1706,90
2007,427,57,0,185,9,134,35,696,50,537,426,0,311,0,233,10,339,1767,65
2008,116,118,0,211,12,112,225,889,72,575,451,1,227,0,123,0,344,2184,104
2009,120,164,0,169,1,126,129,1039,71,599,408,1,145,1,171,0,335,2188,0
2010,83,193,0,182,0,129,105,1105,76,614,436,0,1,0,225,0,309,2169,0
2011,122,163,0,164,0,127,2,1019,106,536,456,0,0,50,254,0,318,2196,1
2012,105,168,0,209,0,121,0,1226,52,598,468,0,0,0,218,0,282,2216,1
2013,1,167,0,275,0,141,0,1237,39,619,519,0,0,0,243,0,314,2285,1
2014,0,111,0,301,0,134,0,1324,24,604,446,0,0,0,242,0,318,1919,0
2015,1,188,0,277,66,112,0,1477,0,557,400,0,1,0,7,0,318,1868,0
2016,0,1,0,23,91,110,0,1427,0,626,364,0,0,0,247,10,275,1945,0
2017,0,262,0,28,61,0,0,1134,0,956,418,0,0,0,11,120,331,1830,0
2018,0,0,0,0,34,0,5,0,0,955,102,0,1,0,6,30,324,1894,0
2019,2,0,0,78,5,1,0,0,0,1076,128,0,0,0,3,0,402,1629,0
2020,1,,0,58,0,2,0,0,0,1041,141,0,0,0,259,0,271,1948,0
2021,0,0,0,127,0,207,0,0,0,1082,66,0,0,,254,0,427,1906,0
2022,106,0,0,143,0,238,0,0,0,1,26,0,2,0,248,0,456,1961,0
2023,0,0,0,285,0,0,0,0,0,50,0,0,0,0,53,0,434,1645,0
