year,arrests,type,arrests_lower,arrests_upper,region
2009-01-01,4154.0,Actual,,,Uusimaa
2010-01-01,3960.0,Actual,,,Uusimaa
2011-01-01,4114.0,Actual,,,Uusimaa
2012-01-01,3612.0,Actual,,,Uusimaa
2013-01-01,4335.0,Actual,,,Uusimaa
2014-01-01,4800.0,Actual,,,Uusimaa
2015-01-01,5164.0,Actual,,,Uusimaa
2016-01-01,5682.0,Actual,,,Uusimaa
2017-01-01,6098.0,Actual,,,Uusimaa
2018-01-01,6381.0,Actual,,,Uusimaa
2019-01-01,6780.0,Actual,,,Uusimaa
2020-01-01,7986.0,Actual,,,Uusimaa
2021-01-01,6248.0,Actual,,,Uusimaa
2022-01-01,5690.0,Actual,,,Uusimaa
2023-01-01,6149.0,Actual,,,Uusimaa
2024-12-31,6149.0000000000055,Prediction,4889.780456364876,7732.428301975338,Uusimaa
2025-12-31,6149.0000000000055,Prediction,4447.004142541974,8502.251972779177,Uusimaa
2026-12-31,6149.0000000000055,Prediction,4134.626860356862,9144.530116016405,Uusimaa
2009-01-01,1199.0,Actual,,,Varsinais-Suomi
2010-01-01,1281.0,Actual,,,Varsinais-Suomi
2011-01-01,1407.0,Actual,,,Varsinais-Suomi
2012-01-01,1402.0,Actual,,,Varsinais-Suomi
2013-01-01,1440.0,Actual,,,Varsinais-Suomi
2014-01-01,1178.0,Actual,,,Varsinais-Suomi
2015-01-01,1662.0,Actual,,,Varsinais-Suomi
2016-01-01,1715.0,Actual,,,Varsinais-Suomi
2017-01-01,1542.0,Actual,,,Varsinais-Suomi
2018-01-01,1775.0,Actual,,,Varsinais-Suomi
2019-01-01,2118.0,Actual,,,Varsinais-Suomi
2020-01-01,2066.0,Actual,,,Varsinais-Suomi
2021-01-01,1736.0,Actual,,,Varsinais-Suomi
2022-01-01,1502.0,Actual,,,Varsinais-Suomi
2023-01-01,1453.0,Actual,,,Varsinais-Suomi
2024-12-31,1467.539698937624,Prediction,1137.1729619990801,1893.7988744768234,Varsinais-Suomi
2025-12-31,1477.0918579719164,Prediction,1089.4396380368162,2002.554772216661,Varsinais-Suomi
2026-12-31,1483.3494174535076,Prediction,1073.7990594707353,2048.958244455048,Varsinais-Suomi
2009-01-01,713.0,Actual,,,Satakunta
2010-01-01,585.0,Actual,,,Satakunta
2011-01-01,483.0,Actual,,,Satakunta
2012-01-01,424.0,Actual,,,Satakunta
2013-01-01,494.0,Actual,,,Satakunta
2014-01-01,512.0,Actual,,,Satakunta
2015-01-01,513.0,Actual,,,Satakunta
2016-01-01,540.0,Actual,,,Satakunta
2017-01-01,681.0,Actual,,,Satakunta
2018-01-01,746.0,Actual,,,Satakunta
2019-01-01,716.0,Actual,,,Satakunta
2020-01-01,1025.0,Actual,,,Satakunta
2021-01-01,774.0,Actual,,,Satakunta
2022-01-01,596.0,Actual,,,Satakunta
2023-01-01,688.0,Actual,,,Satakunta
2024-12-31,667.84744503214,Prediction,482.88763339675495,923.5057609464038,Satakunta
2025-12-31,655.1067309748652,Prediction,445.13449921334086,963.9019369485504,Satakunta
2026-12-31,646.9821096570281,Prediction,429.49128508859525,974.3526470324739,Satakunta
2009-01-01,321.0,Actual,,,Kanta-Häme
2010-01-01,383.0,Actual,,,Kanta-Häme
2011-01-01,318.0,Actual,,,Kanta-Häme
