year,offences,type,offences_lower,offences_upper,region
2009-01-01,4154.0,Actual,,,Uusimaa
2010-01-01,3961.0,Actual,,,Uusimaa
2011-01-01,4119.0,Actual,,,Uusimaa
2012-01-01,3614.0,Actual,,,Uusimaa
2013-01-01,4341.0,Actual,,,Uusimaa
2014-01-01,4808.0,Actual,,,Uusimaa
2015-01-01,5171.0,Actual,,,Uusimaa
2016-01-01,5695.0,Actual,,,Uusimaa
2017-01-01,6098.0,Actual,,,Uusimaa
2018-01-01,6381.0,Actual,,,Uusimaa
2019-01-01,6781.0,Actual,,,Uusimaa
2020-01-01,7986.0,Actual,,,Uusimaa
2021-01-01,6250.0,Actual,,,Uusimaa
2022-01-01,5691.0,Actual,,,Uusimaa
2023-01-01,6149.0,Actual,,,Uusimaa
2024-12-31,6149.0000000000055,Prediction,4889.160044745877,7733.409437302065,Uusimaa
2025-12-31,6149.0000000000055,Prediction,4446.206200970733,8503.77767182106,Uusimaa
2026-12-31,6149.0000000000055,Prediction,4133.718236116333,9146.539890293949,Uusimaa
2009-01-01,1199.0,Actual,,,Varsinais-Suomi
2010-01-01,1281.0,Actual,,,Varsinais-Suomi
2011-01-01,1407.0,Actual,,,Varsinais-Suomi
2012-01-01,1402.0,Actual,,,Varsinais-Suomi
2013-01-01,1440.0,Actual,,,Varsinais-Suomi
2014-01-01,1178.0,Actual,,,Varsinais-Suomi
2015-01-01,1662.0,Actual,,,Varsinais-Suomi
2016-01-01,1715.0,Actual,,,Varsinais-Suomi
2017-01-01,1542.0,Actual,,,Varsinais-Suomi
2018-01-01,1775.0,Actual,,,Varsinais-Suomi
2019-01-01,2119.0,Actual,,,Varsinais-Suomi
2020-01-01,2067.0,Actual,,,Varsinais-Suomi
2021-01-01,1736.0,Actual,,,Varsinais-Suomi
2022-01-01,1502.0,Actual,,,Varsinais-Suomi
2023-01-01,1453.0,Actual,,,Varsinais-Suomi
2024-12-31,1467.5610918153925,Prediction,1137.0213780569957,1894.10647337418,Varsinais-Suomi
2025-12-31,1477.128124758939,Prediction,1089.266839673507,2002.9706553467772,Varsinais-Suomi
2026-12-31,1483.3959405822466,Prediction,1073.6191094089518,2049.4300445847775,Varsinais-Suomi
2009-01-01,713.0,Actual,,,Satakunta
2010-01-01,585.0,Actual,,,Satakunta
2011-01-01,483.0,Actual,,,Satakunta
2012-01-01,424.0,Actual,,,Satakunta
2013-01-01,494.0,Actual,,,Satakunta
2014-01-01,512.0,Actual,,,Satakunta
2015-01-01,513.0,Actual,,,Satakunta
2016-01-01,540.0,Actual,,,Satakunta
2017-01-01,681.0,Actual,,,Satakunta
2018-01-01,749.0,Actual,,,Satakunta
2019-01-01,716.0,Actual,,,Satakunta
