,year,region,arrests,rehab,clinic,population,unemployment_rate,forign_count,offences
0,2009,Uusimaa,4154,2615.0,2188.0,1163,6.4,113742,4154.0
1,2010,Uusimaa,3960,2374.0,2169.0,1175,6.6,121352,3961.0
2,2011,Uusimaa,4114,2087.0,2196.0,1187,6.1,131101,4119.0
3,2012,Uusimaa,3612,2013.0,2216.0,1200,6.6,141965,3614.0
4,2013,Uusimaa,4335,1862.0,2285.0,1213,7.0,152458,4341.0
5,2014,Uusimaa,4800,1852.0,1919.0,1225,7.5,162824,4808.0
6,2015,Uusimaa,5164,1634.0,1868.0,1236,8.0,172143,5171.0
7,2016,Uusimaa,5682,1777.0,1945.0,1247,7.6,183459,5695.0
8,2017,Uusimaa,6098,1566.0,1830.0,1258,7.9,193255,6098.0
9,2018,Uusimaa,6381,1509.0,1894.0,1272,7.2,202957,6381.0
10,2019,Uusimaa,6780,1369.0,1629.0,1283,6.5,214768,6781.0
11,2020,Uusimaa,7986,1199.0,1948.0,1294,7.3,225350,7986.0
12,2021,Uusimaa,6248,1433.0,1906.0,1298,7.7,237791,6250.0
13,2022,Uusimaa,5690,1464.0,1961.0,1305,6.7,257833,5691.0
14,2023,Uusimaa,6149,1048.0,1645.0,1321,7.6,283570,6149.0
15,2009,Varsinais-Suomi,1199,384.0,335.0,348,7.6,20733,1199.0
16,2010,Varsinais-Suomi,1281,297.0,309.0,350,8.4,21978,1281.0
17,2011,Varsinais-Suomi,1407,400.0,318.0,351,8.1,23203,1407.0
18,2012,Varsinais-Suomi,1402,371.0,282.0,353,7.7,24708,1402.0
19,2013,Varsinais-Suomi,1440,349.0,314.0,354,9.1,26082,1440.0
20,2014,Varsinais-Suomi,1178,295.0,318.0,355,9.7,27547,1178.0
21,2015,Varsinais-Suomi,1662,363.0,318.0,356,10.3,28690,1662.0
22,2016,Varsinais-Suomi,1715,322.0,275.0,357,9.6,30092,1715.0
23,2017,Varsinais-Suomi,1542,340.0,331.0,358,8.8,31544,1542.0
24,2018,Varsinais-Suomi,1775,297.0,324.0,360,7.1,32898,1775.0
25,2019,Varsinais-Suomi,2118,161.0,402.0,360,6.2,34140,2119.0
26,2020,Varsinais-Suomi,2066,455.0,271.0,361,7.1,35892,2067.0
27,2021,Varsinais-Suomi,1736,312.0,427.0,360,6.9,37824,1736.0
28,2022,Varsinais-Suomi,1502,349.0,456.0,360,8.4,40651,1502.0
29,2023,Varsinais-Suomi,1453,259.0,434.0,361,6.8,46616,1453.0
30,2009,Satakunta,713,157.0,145.0,170,7.7,4505,713.0
31,2010,Satakunta,585,125.0,1.0,170,8.6,4860,585.0
32,2011,Satakunta,483,146.0,0.0,169,6.2,5204,483.0
33,2012,Satakunta,424,150.0,0.0,169,7.2,5717,424.0
34,2013,Satakunta,494,165.0,0.0,167,7.9,6225,494.0
35,2014,Satakunta,512,166.0,0.0,166,7.4,6641,512.0
36,2015,Satakunta,513,126.0,1.0,165,9.1,6995,513.0
37,2016,Satakunta,540,113.0,0.0,164,9.5,7630,540.0
38,2017,Satakunta,681,111.0,0.0,163,8.9,8081,681.0
39,2018,Satakunta,746,119.0,1.0,162,6.4,8405,749.0
40,2019,Satakunta,716,109.0,0.0,160,6.6,8640,716.0
41,2020,Satakunta,1025,100.0,0.0,159,7.5,9172,1026.0
42,2021,Satakunta,774,97.0,0.0,157,8.1,9705,774.0
43,2022,Satakunta,596,94.0,2.0,155,7.0,10173,596.0
44,2023,Satakunta,688,97.0,0.0,153,7.2,11633,688.0
45,2009,Kanta-Häme,321,91.0,169.0,129,7.4,4240,321.0
46,2010,Kanta-Häme,383,91.0,182.0,129,9.6,4524,383.0
47,2011,Kanta-Häme,318,89.0,164.0,130,6.7,4901,318.0
48,2012,Kanta-Häme,245,96.0,209.0,130,7.0,5481,245.0
49,2013,Kanta-Häme,262,93.0,275.0,130,6.8,5960,263.0
50,2014,Kanta-Häme,365,93.0,301.0,130,6.9,6361,367.0
51,2015,Kanta-Häme,452,184.0,277.0,130,8.8,6638,452.0
52,2016,Kanta-Häme,475,67.0,23.0,129,6.6,6962,475.0
