year,KOKO MAA,MA1 MANNER-SUOMI,MK01 Uusimaa,MK02 Varsinais-Suomi,MK04 Satakunta,MK05 Kanta-Häme,MK06 Pirkanmaa,MK07 Päijät-Häme,MK08 Kymenlaakso,MK09 Etelä-Karjala,MK10 Etelä-Savo,MK11 Pohjois-Savo,MK12 Pohjois-Karjala,MK13 Keski-Suomi,MK14 Etelä-Pohjanmaa,MK15 Pohjanmaa,MK16 Keski-Pohjanmaa,MK17 Pohjois-Pohjanmaa,MK18 Kainuu,MK19 Lappi,MA2 AHVENANMAA,MK21 Ahvenanmaa
1980,10,10,0,0,1,0,0,0,0,4,1,0,0,1,0,2,0,0,0,1,0,0
1981,15,12,2,0,1,0,0,1,0,0,0,1,2,1,2,0,2,0,0,0,3,3
1982,14,14,2,0,2,0,0,0,0,2,0,0,2,1,3,0,0,2,0,0,0,0
1983,25,25,4,0,4,0,0,0,2,0,0,1,1,0,2,2,4,3,0,2,0,0
1984,51,44,6,1,12,0,0,2,0,2,0,2,3,5,2,1,1,7,0,0,7,7
1985,36,36,1,3,9,2,0,0,8,0,0,0,1,2,0,2,0,1,0,7,0,0
1986,38,38,3,12,5,0,1,7,0,1,0,0,0,0,0,1,0,5,1,2,0,0
1987,54,54,22,3,4,7,3,0,4,1,0,0,0,3,3,0,0,1,3,0,0,0
1988,28,28,5,0,5,2,1,0,1,1,0,0,0,1,0,1,0,0,1,10,0,0
1989,34,34,5,4,2,1,6,0,0,0,1,0,2,0,2,3,0,7,0,1,0,0
1990,62,62,24,4,1,1,2,2,0,6,2,1,4,5,5,1,0,0,0,4,0,0
1991,71,71,15,5,8,2,2,1,0,0,3,6,2,2,2,1,0,6,1,15,0,0
1992,87,87,51,2,10,0,1,2,4,1,2,1,1,6,1,1,0,3,1,0,0,0
1993,89,89,27,8,3,1,8,5,8,3,1,2,10,4,2,4,0,2,0,1,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1921,1918,473,250,139,92,135,91,55,28,35,92,38,79,96,117,24,93,15,66,3,3
2002,7317,7274,2387,765,621,193,476,242,286,192,172,317,104,344,203,251,79,366,75,201,41,41
2003,9205,9168,3339,878,477,271,834,269,422,252,96,415,119,334,263,242,97,556,93,211,36,36
2004,9308,9270,3303,907,706,233,793,331,417,306,84,348,155,303,297,232,152,485,51,167,37,37
2005,9348,9320,3079,982,663,301,714,346,515,240,180,437,205,342,232,225,135,382,30,312,24,24
2006,8555,8501,3070,845,594,276,704,267,385,242,187,287,196,214,265,263,102,282,57,265,53,53
2007,10399,10314,4053,1064,597,329,1076,311,341,209,205,316,203,215,271,229,110,441,30,314,78,78
2008,9920,9852,3690,1105,595,312,972,319,273,265,186,229,179,326,238,269,93,429,42,330,64,64
2009,11257,11159,4154,1199,713,321,1102,367,362,221,227,256,247,336,295,278,76,586,59,360,91,91
2010,12150,12087,3960,1281,585,383,1206,775,430,290,264,306,311,391,305,259,156,659,74,452,52,52
2011,12082,12012,4114,1407,483,318,1130,380,388,355,253,378,301,501,374,299,118,715,123,375,62,62
2012,11288,11243,3612,1402,424,245,1066,326,412,326,243,387,293,461,265,260,190,829,99,403,41,41
2013,12768,12716,4335,1440,494,262,1028,435,422,287,216,375,262,418,403,384,123,1117,100,615,44,44
2014,13667,13607,4800,1178,512,365,1304,568,501,237,230,410,267,432,369,400,155,1115,108,656,56,56
2015,15154,15084,5164,1662,513,452,1522,643,555,258,262,473,205,736,473,490,124,793,121,638,67,67
2016,15692,15564,5682,1715,540,475,1655,540,462,219,252,565,259,644,510,433,224,752,57,580,126,126
2017,17069,16904,6098,1542,681,645,1775,645,355,324,273,675,286,796,659,496,181,855,57,561,154,154
2018,19284,19169,6381,1775,746,867,1909,622,491,320,326,893,350,926,778,727,229,1103,135,591,112,112
2019,21074,20916,6780,2118,716,873,1874,740,678,310,351,932,354,969,823,763,310,1337,155,833,153,153
2020,23785,23695,7986,2066,1025,898,2203,810,975,388,349,993,433,1098,771,704,286,1390,225,1095,80,80
2021,19295,19219,6248,1736,774,741,1668,745,930,429,355,792,334,844,508,540,328,1292,179,776,71,71
2022,17213,17112,5690,1502,596,625,1596,747,613,236,287,743,220,768,530,548,324,1150,188,749,92,92
2023,18578,18502,6149,1453,688,682,1809,725,667,227,243,727,275,837,579,579,264,1536,221,841,71,71
